,hst,chnst,z
36054,1128027.0,2119717.0,9527150.0
36055,1365199.0,3435224.0,9403743.0
36056,1526620.0,4145503.0,9784456.0
36057,1596155.0,4525537.0,8091068.0
36058,1732044.0,4616014.0,6056119.0
36059,1871301.0,4800475.0,8190107.0
36060,2088628.0,5273636.0,11502178.0
36061,2203649.0,5319156.0,15373509.0
36062,2316588.0,5549711.0,17061205.0
36063,2195504.0,5178764.0,13495958.0
36064,1887689.0,4742115.0,6922311.0
36065,1825466.0,5352492.0,2868010.0
36066,2354772.0,6036323.0,1126649.0
36067,2557974.0,6761545.0,423800.0
36068,1736627.0,5338424.0,228981.0
36069,612130.0,2126093.0,157179.0
36070,149384.0,648654.0,219457.0
36071,58026.0,302881.0,472659.0
36072,54834.0,342376.0,1528888.0
36073,98009.0,311935.0,4009966.0
36074,239933.0,396249.0,6159821.0
36075,278874.0,469074.0,7428205.0
36076,343539.0,718726.0,5971125.0
36077,548175.0,1065978.0,7858026.0
36078,1087603.0,2421758.0,9673600.0
36079,1320377.0,3777838.0,9328945.0
36080,1514181.0,4534743.0,10160487.0
36081,1551967.0,4942073.0,8099592.0
36082,1713137.0,4668143.0,6416966.0
36083,1714217.0,4774386.0,8341114.0
36084,1900300.0,5132595.0,12219887.0
36085,1995930.0,5778518.0,16633408.0
36086,1962000.0,5881110.0,19112743.0
36087,1747456.0,4794169.0,14993350.0
36088,1526661.0,3787444.0,7813557.0
36089,1482121.0,4309840.0,3104103.0
36090,1586354.0,5364556.0,1198128.0
36091,1844017.0,5821037.0,468212.0
36092,1358423.0,6134847.0,248803.0
36093,508015.0,3143641.0,175230.0
36094,126436.0,948892.0,229030.0
36095,58408.0,465963.0,551763.0
36096,46818.0,425850.0,1572286.0
36097,58689.0,390102.0,4068031.0
36098,119418.0,512542.0,6619468.0
36099,161371.0,581282.0,7993041.0
36100,275239.0,895076.0,5799791.0
36101,514802.0,1618933.0,8040441.0
36102,1014127.0,3466999.0,9826531.0
36103,1246423.0,5451682.0,9718313.0
36104,1345384.0,4736329.0,10099378.0
36105,1485035.0,4721163.0,8217868.0
36106,1630670.0,4868213.0,6280900.0
36107,1738523.0,4807346.0,8241360.0
36108,1904699.0,4984169.0,11393015.0
